state_code,state_name,region,sub_region
NY,NEWYORK,NORTHEAST,MIDDLE ATLANTIC
PA,PENNSYLVANIA,NORTHEAST,MIDDLE ATLANTIC
NJ,NEW JERSEY,NORTHEAST,MIDDLE ATLANTIC
CT,CONNECTICUT,NORTHEAST,NEW ENGLAND
RI,RHODE ISLAND,NORTHEAST,NEW ENGLAND
MA,MASSACHUSETTS,NORTHEAST,NEW ENGLAND
VT,VIRGINIA,NORTHEAST,NEW ENGLAND
NH,NEW HAMPSHIRE,NORTHEAST,NEW ENGLAND
ME,MAINE,NORTHEAST,NEW ENGLAND
OK,OKLAHOMA,SOUTH,WEST SOUTH CENTRAL
TX,TEXAS,SOUTH,WEST SOUTH CENTRAL
AR,ARKANSAS,SOUTH,WEST SOUTH CENTRAL
LA,LOUISIANA,SOUTH,WEST SOUTH CENTRAL
KY,KENTUCKY,SOUTH,EAST SOUTH CENTRAL
TN,TENNESSEE,SOUTH,EAST SOUTH CENTRAL
MS,MISSISSIPPI,SOUTH,EAST SOUTH CENTRAL
AL,ALABAMA,SOUTH,EAST SOUTH CENTRAL
GA,GEORGIA,SOUTH,SOUTH ATLANTIC
WV,WEST VIRGINIA,SOUTH,SOUTH ATLANTIC
VA,VIRGINIA,SOUTH,SOUTH ATLANTIC
DC,DISTRICT OF COLUMBIA,SOUTH,SOUTH ATLANTIC
NC,NORTH CAROLINA,SOUTH,SOUTH ATLANTIC
SC,SOUTH CAROLINA,SOUTH,SOUTH ATLANTIC
FL,FLORIDA,SOUTH,SOUTH ATLANTIC
MD,MARYLAND,SOUTH,SOUTH ATLANTIC
DE,DELAWARE,SOUTH,SOUTH ATLANTIC
ND,NORTH DAKOTA,MIDWEST,WEST NORTH CENTRAL
SD,SOUTH DAKOTA,MIDWEST,WEST NORTH CENTRAL
NE,NEBRASKA,MIDWEST,WEST NORTH CENTRAL
KS,KANSAS,MIDWEST,WEST NORTH CENTRAL
MN,MINNESOTA,MIDWEST,WEST NORTH CENTRAL
IA,IOWA,MIDWEST,WEST NORTH CENTRAL
MO,MISSOURI,MIDWEST,WEST NORTH CENTRAL
WI,WISCONSIN,MIDWEST,EAST NORTH CENTRAL
IL,ILLINOIS,MIDWEST,EAST NORTH CENTRAL
MI,MICHIGAN,MIDWEST,EAST NORTH CENTRAL
IN,INDIANA,MIDWEST,EAST NORTH CENTRAL
OH,OHIO,MIDWEST,EAST NORTH CENTRAL
WA,WASHINGTON,WEST,PACIFIC
OR,OREGON,WEST,PACIFIC
CA,CALIFORNIA,WEST,PACIFIC
MT,MONTANA,WEST,MOUNTAIN
ID,IDAHO,WEST,MOUNTAIN
NV,NEVADA,WEST,MOUNTAIN
WY,WYOMING,WEST,MOUNTAIN
UT,UTAH,WEST,MOUNTAIN
CO,COLORADO,WEST,MOUNTAIN
AZ,ARIZONA,WEST,MOUNTAIN
NM,NEW MEXICO,WEST,MOUNTAIN
